HMS Property ID,Dispose Date,Address Line1,Address Line2,City,County,Post Code,Locality1,Locality2,Locality3,Locality4,DwellingCode,post_preamble
ALICHS000400,NULL, Flat 4 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 4
ALICHS000500,NULL, Flat 5 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 5
ALICHS000600,NULL, Flat 6 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 6
ALICHS000700,NULL, Flat 7 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 7
ALICHS000800,NULL, Flat 8 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 8
ALICHS000900,NULL, Flat 9 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 9
ALICHS001000,NULL, Flat 10 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 10
ALICHS001100,NULL, Flat 11 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 11
ALICHS001200,NULL, Flat 12 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 12
ALICHS001300,NULL, Flat 13 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 13
ALICHS001400,NULL, Flat 14 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 14
ALICHS001500,NULL, Flat 15 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 15
ALICHS001600,NULL, Flat 16 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 16
ALICHS001700,NULL, Flat 17 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 17
ALICHS001800,NULL, Flat 18 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 18
ALICHS001900,NULL, Flat 19 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 19
ALICHS002000,NULL, Flat 20 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 20
ALICHS002100,NULL, Flat 21 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 21
ALICHS002200,NULL, Flat 22 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 22
ALICHS002300,NULL, Flat 23 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 23
ALICHS002400,NULL, Flat 24 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 24
ALICHS002500,NULL, Flat 25 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 25
ALICHS002600,NULL, Flat 26 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 26
ALICHS002700,NULL, Flat 27 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 27
ALICHS002800,NULL, Flat 28 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 28
ALICHS002900,NULL, Flat 29 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 29
ALICHS003000,NULL, Flat 30 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 30
ALICHS003100,NULL, Flat 31 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 31
ALICHS003200,NULL, Flat 32 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 32
ALICHS003300,NULL, Flat 33 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 33
ALICHS003400,NULL, Flat 34 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 34
ALICHS003500,NULL, Flat 35 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 35
ALICHS003600,NULL, Flat 36 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 36
ALICHS003700,NULL, Flat 37 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 37
ALICHS003800,NULL, Flat 38 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 38
ALICHS003900,NULL, Flat 39 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 39
ALICHS004000,NULL, Flat 40 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 40
ALICHS004100,NULL, Flat 41 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 41
ALICHS004200,NULL, Flat 42 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 42
ALICHS004300,NULL, Flat 43 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 43
ALICHS004400,NULL, Flat 44 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 44
ALICHS004500,NULL, Flat 45 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 45
ALICHS004600,NULL, Flat 46 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 46
ALICHS004700,NULL, Flat 47 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 47
ALICHS004800,NULL, Flat 48 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 48
ALICHS004900,NULL, Flat 49 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 49
ALICHS005000,NULL, Flat 50 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 50
ALICHS005100,NULL, Flat 51 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 51
ALICHS005200,NULL, Flat 52 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 52
ALICHS005300,NULL, Flat 53 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 53
ALICHS005400,NULL, Flat 54 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 54
ALICHS005500,NULL, Flat 55 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 55
ALICHS005600,NULL, Flat 56 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 56
ALICHS005700,NULL, Flat 57 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 57
ALICHS005800,NULL, Flat 58 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 58
ALICHS005900,NULL, Flat 59 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 59
ALICHS006000,NULL, Flat 60 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 60
ALICHS006100,NULL, Flat 61 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 61
ALICHS006200,NULL, Flat 62 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 62
ALICHS006300,NULL, Flat 63 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 63
ALICHS006400,NULL, Flat 64 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 64
ALICHS006500,NULL, Flat 65 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 65
ALICHS006600,NULL, Flat 66 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 66
ALICHS006700,NULL, Flat 67 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 67
ALICHS006800,NULL, Flat 68 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 68
ALICHS006900,NULL, Flat 69 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 69
ALICHS007000,NULL, Flat 70 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 70
ALICHS007100,NULL, Flat 71 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 71
ALICHS007200,NULL, Flat 72 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 72
ALLENDER0001,NULL, Flat 1 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 1
