source_db_ref,name,search_name,manager_code,default_currency_code
374,Haggerston Road,374,ACTIV,GBP
375,Handyside Street,375,ACTIV,GBP
376,Old Castle Street,376,ACTIV,GBP
377,Battersea Park Road,377,ACTIV,GBP
378,Canning Road,378,ACTIV,GBP
379,Railway Terrace,379,ACTIV,GBP
380,Hardwick Square,380,ACTIV,GBP
381,Kingsland Road,381,ACTIV,GBP
382,Pear Tree Street,382,ACTIV,GBP
383,Roseberry Mansions,383,ACTIV,GBP
384,The Hub,384,ACTIV,GBP
385,Bury Street,385,ACTIV,GBP
386,STREET PROPERTY,386,ACTIV,GBP
387,Sherwood Gardens,387,ACTIV,GBP
389,Brent Court,389,ACTIV,GBP
390,St John Street,390,ACTIV,GBP
391,Allcroft Road,391,ACTIV,GBP
392,Arun House,392,ACTIV,GBP
393,Baldwin Court,393,ACTIV,GBP
394,Benwell Road,394,ACTIV,GBP
395,Blundell Road,395,ACTIV,GBP
396,Bolsover Street,396,ACTIV,GBP
397,Bravington Place,397,ACTIV,GBP
398,Brownlow Mews,398,ACTIV,GBP
399,Celandine Grove,399,ACTIV,GBP
400,Chetwynd Road,400,ACTIV,GBP
401,Circa Apartments,401,ACTIV,GBP
402,Claddagh Court,402,ACTIV,GBP
403,Coombe Lane,403,ACTIV,GBP
404,Dartmouth Park Hill,404,ACTIV,GBP
405,Dendridge Close,405,ACTIV,GBP
406,Drummond Street,406,ACTIV,GBP
407,Foxborough,407,ACTIV,GBP
408,Fulham Road,408,ACTIV,GBP
409,Greenwood Avenue,409,ACTIV,GBP
410,Hartham Road,410,ACTIV,GBP
411,Hawthorne Court,411,ACTIV,GBP
412,Highbury Grove,412,ACTIV,GBP
413,Hunters Way,413,ACTIV,GBP
414,Jerningham Road,414,ACTIV,GBP
415,Kenninghall Road,415,ACTIV,GBP
416,Leverton Street,416,ACTIV,GBP
417,Mapleton Road,417,ACTIV,GBP
418,Meridian House,418,ACTIV,GBP
419,Mildenhall Road,419,ACTIV,GBP
420,Moor Furlong,420,ACTIV,GBP
421,Mozart Street,421,ACTIV,GBP
422,Plender Street,422,ACTIV,GBP
423,Quiberon Court,423,ACTIV,GBP
424,Ramney Drive,424,ACTIV,GBP
425,Redlands Road,425,ACTIV,GBP
426,Richmond Road,426,ACTIV,GBP
427,Roby Drive,427,ACTIV,GBP
428,Saltram Crescent,428,ACTIV,GBP
429,Sandall Road,429,ACTIV,GBP
430,Sawyers Crescent,430,ACTIV,GBP
431,Sutton Court,431,ACTIV,GBP
432,The Gates,432,ACTIV,GBP
433,The Water Meadows,433,ACTIV,GBP
434,Thicket Road,434,ACTIV,GBP
435,Varndell Street,435,ACTIV,GBP
436,Wells Street,436,ACTIV,GBP
437,Woodberry Grove,437,ACTIV,GBP
438,Hoover Tower,438,ACTIV,GBP
439,Kingsbridge Estate,439,INACT,GBP
440,Lowden Court,440,ACTIV,GBP
441,Indescon Court,441,ACTIV,GBP
442,Egleton House,442,ACTIV,GBP
443,Lamb Walk,443,ACTIV,GBP
444,Leeward Court,444,ACTIV,GBP
445,Wenlock Road,445,ACTIV,GBP
950,Deleted Properties,950,INACT,GBP
999,Street Properties,999,ACTIV,GBP
